"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"43 years"	"43"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	147	7984369	1.8
	"43 years"	"43"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	256	7916092	3.2
	"43 years"	"43"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	48	7916092	0.6
	"43 years"	"43"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	48	7984369	0.6
	"43 years"	"43"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	43	7916092	0.5
	"43 years"	"43"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	17	7984369	Unreliable
	"43 years"	"43"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	74	7916092	0.9
	"44 years"	"44"	"Transport accidents"	"V01-V99"	"Female"	"F"	562	7899696	7.1
	"44 years"	"44"	"Transport accidents"	"V01-V99"	"Male"	"M"	1625	7812546	20.8
	"44 years"	"44"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2141	7899696	27.1
	"44 years"	"44"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5355	7812546	68.5
	"44 years"	"44"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	651	7899696	8.2
	"44 years"	"44"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2144	7812546	27.4
	"44 years"	"44"	"Assault"	"X85-Y09"	"Female"	"F"	224	7899696	2.8
	"44 years"	"44"	"Assault"	"X85-Y09"	"Male"	"M"	906	7812546	11.6
	"44 years"	"44"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	104	7899696	1.3
	"44 years"	"44"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	266	7812546	3.4
	"44 years"	"44"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	47	7812546	0.6
	"44 years"	"44"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	70	7899696	0.9
	"44 years"	"44"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	52	7812546	0.7
	"44 years"	"44"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	21	7899696	0.3
	"44 years"	"44"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	73	7812546	0.9
	"45 years"	"45"	"Transport accidents"	"V01-V99"	"Female"	"F"	566	7859367	7.2
	"45 years"	"45"	"Transport accidents"	"V01-V99"	"Male"	"M"	1572	7748860	20.3
	"45 years"	"45"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2232	7859367	28.4
	"45 years"	"45"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5230	7748860	67.5
	"45 years"	"45"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	678	7859367	8.6
	"45 years"	"45"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2176	7748860	28.1
	"45 years"	"45"	"Assault"	"X85-Y09"	"Female"	"F"	243	7859367	3.1
	"45 years"	"45"	"Assault"	"X85-Y09"	"Male"	"M"	823	7748860	10.6
	"45 years"	"45"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	158	7859367	2.0
	"45 years"	"45"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	239	7748860	3.1
	"45 years"	"45"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	46	7748860	0.6
	"45 years"	"45"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	62	7859367	0.8
	"45 years"	"45"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	36	7748860	0.5
	"45 years"	"45"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	21	7859367	0.3
	"45 years"	"45"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	94	7748860	1.2
	"46 years"	"46"	"Transport accidents"	"V01-V99"	"Female"	"F"	561	7940696	7.1
	"46 years"	"46"	"Transport accidents"	"V01-V99"	"Male"	"M"	1687	7801615	21.6
	"46 years"	"46"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2188	7940696	27.6
	"46 years"	"46"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5185	7801615	66.5
	"46 years"	"46"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	737	7940696	9.3
	"46 years"	"46"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2198	7801615	28.2
	"46 years"	"46"	"Assault"	"X85-Y09"	"Female"	"F"	223	7940696	2.8
	"46 years"	"46"	"Assault"	"X85-Y09"	"Male"	"M"	816	7801615	10.5
	"46 years"	"46"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	138	7940696	1.7
	"46 years"	"46"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	284	7801615	3.6
	"46 years"	"46"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	42	7801615	0.5
	"46 years"	"46"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	59	7940696	0.7
	"46 years"	"46"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	80	7801615	1.0
	"46 years"	"46"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	21	7940696	0.3
	"46 years"	"46"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	78	7801615	1.0
	"47 years"	"47"	"Transport accidents"	"V01-V99"	"Female"	"F"	597	8134938	7.3
	"47 years"	"47"	"Transport accidents"	"V01-V99"	"Male"	"M"	1724	7976550	21.6
	"47 years"	"47"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2226	8134938	27.4
	"47 years"	"47"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5296	7976550	66.4
	"47 years"	"47"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	718	8134938	8.8
	"47 years"	"47"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2259	7976550	28.3
	"47 years"	"47"	"Assault"	"X85-Y09"	"Female"	"F"	230	8134938	2.8
	"47 years"	"47"	"Assault"	"X85-Y09"	"Male"	"M"	742	7976550	9.3
	"47 years"	"47"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	172	8134938	2.1
	"47 years"	"47"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	226	7976550	2.8
	"47 years"	"47"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	43	7976550	0.5
	"47 years"	"47"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	59	8134938	0.7
	"47 years"	"47"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	67	7976550	0.8
	"47 years"	"47"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	23	8134938	0.3
	"47 years"	"47"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	98	7976550	1.2
	"48 years"	"48"	"Transport accidents"	"V01-V99"	"Female"	"F"	628	8376895	7.5
	"48 years"	"48"	"Transport accidents"	"V01-V99"	"Male"	"M"	1747	8226416	21.2
	"48 years"	"48"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2362	8376895	28.2
	"48 years"	"48"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5621	8226416	68.3
	"48 years"	"48"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	790	8376895	9.4
	"48 years"	"48"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2417	8226416	29.4
	"48 years"	"48"	"Assault"	"X85-Y09"	"Female"	"F"	223	8376895	2.7
	"48 years"	"48"	"Assault"	"X85-Y09"	"Male"	"M"	821	8226416	10.0
	"48 years"	"48"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	161	8376895	1.9
	"48 years"	"48"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	310	8226416	3.8
	"48 years"	"48"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	45	8226416	0.5
	"48 years"	"48"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	57	8376895	0.7
	"48 years"	"48"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	60	8226416	0.7
	"48 years"	"48"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	21	8376895	0.3
	"48 years"	"48"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	101	8226416	1.2
	"49 years"	"49"	"Transport accidents"	"V01-V99"	"Female"	"F"	638	8487095	7.5
	"49 years"	"49"	"Transport accidents"	"V01-V99"	"Male"	"M"	1768	8344570	21.2
	"49 years"	"49"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2578	8487095	30.4
	"49 years"	"49"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5868	8344570	70.3
	"49 years"	"49"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	780	8487095	9.2
	"49 years"	"49"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2403	8344570	28.8
	"49 years"	"49"	"Assault"	"X85-Y09"	"Female"	"F"	225	8487095	2.7
	"49 years"	"49"	"Assault"	"X85-Y09"	"Male"	"M"	765	8344570	9.2
	"49 years"	"49"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	166	8487095	2.0
	"49 years"	"49"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	304	8344570	3.6
	"49 years"	"49"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	40	8344570	0.5
	"49 years"	"49"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	70	8487095	0.8
	"49 years"	"49"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	83	8344570	1.0
	"49 years"	"49"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	32	8487095	0.4
	"49 years"	"49"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	101	8344570	1.2
	"50 years"	"50"	"Transport accidents"	"V01-V99"	"Female"	"F"	595	8464926	7.0
	"50 years"	"50"	"Transport accidents"	"V01-V99"	"Male"	"M"	1864	8334875	22.4
	"50 years"	"50"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2539	8464926	30.0
	"50 years"	"50"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5886	8334875	70.6
	"50 years"	"50"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	781	8464926	9.2
	"50 years"	"50"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2355	8334875	28.3
	"50 years"	"50"	"Assault"	"X85-Y09"	"Female"	"F"	211	8464926	2.5
	"50 years"	"50"	"Assault"	"X85-Y09"	"Male"	"M"	669	8334875	8.0
	"50 years"	"50"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	174	8464926	2.1
	"50 years"	"50"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	322	8334875	3.9
	"50 years"	"50"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	39	8334875	0.5
	"50 years"	"50"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	90	8464926	1.1
	"50 years"	"50"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	89	8334875	1.1
	"50 years"	"50"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	29	8464926	0.3
	"50 years"	"50"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	99	8334875	1.2
	"51 years"	"51"	"Transport accidents"	"V01-V99"	"Female"	"F"	584	8281298	7.1
	"51 years"	"51"	"Transport accidents"	"V01-V99"	"Male"	"M"	1770	8122360	21.8
	"51 years"	"51"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2489	8281298	30.1
	"51 years"	"51"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5745	8122360	70.7
	"51 years"	"51"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	810	8281298	9.8
	"51 years"	"51"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2278	8122360	28.0
	"51 years"	"51"	"Assault"	"X85-Y09"	"Female"	"F"	210	8281298	2.5
	"51 years"	"51"	"Assault"	"X85-Y09"	"Male"	"M"	655	8122360	8.1
	"51 years"	"51"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	173	8281298	2.1
	"51 years"	"51"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	263	8122360	3.2
	"51 years"	"51"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	27	8122360	0.3
	"51 years"	"51"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	82	8281298	1.0
	"51 years"	"51"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	108	8122360	1.3
	"51 years"	"51"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	30	8281298	0.4
	"51 years"	"51"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	97	8122360	1.2
	"52 years"	"52"	"Transport accidents"	"V01-V99"	"Female"	"F"	630	8200552	7.7
	"52 years"	"52"	"Transport accidents"	"V01-V99"	"Male"	"M"	1847	8015229	23.0
	"52 years"	"52"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2507	8200552	30.6
	"52 years"	"52"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5682	8015229	70.9
	"52 years"	"52"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	819	8200552	10.0
	"52 years"	"52"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2341	8015229	29.2
	"52 years"	"52"	"Assault"	"X85-Y09"	"Female"	"F"	191	8200552	2.3
	"52 years"	"52"	"Assault"	"X85-Y09"	"Male"	"M"	641	8015229	8.0
	"52 years"	"52"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	161	8200552	2.0
	"52 years"	"52"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	310	8015229	3.9
	"52 years"	"52"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	40	8015229	0.5
	"52 years"	"52"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	106	8200552	1.3
	"52 years"	"52"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	110	8015229	1.4
	"52 years"	"52"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	40	8200552	0.5
	"52 years"	"52"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	127	8015229	1.6
	"53 years"	"53"	"Transport accidents"	"V01-V99"	"Female"	"F"	604	8323434	7.3
	"53 years"	"53"	"Transport accidents"	"V01-V99"	"Male"	"M"	1886	8105577	23.3
	"53 years"	"53"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2613	8323434	31.4
	"53 years"	"53"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5706	8105577	70.4
	"53 years"	"53"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	829	8323434	10.0
	"53 years"	"53"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2352	8105577	29.0
	"53 years"	"53"	"Assault"	"X85-Y09"	"Female"	"F"	212	8323434	2.5
	"53 years"	"53"	"Assault"	"X85-Y09"	"Male"	"M"	596	8105577	7.4
	"53 years"	"53"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	153	8323434	1.8
	"53 years"	"53"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	312	8105577	3.8
	"53 years"	"53"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	22	8105577	0.3
	"53 years"	"53"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	110	8323434	1.3
	"53 years"	"53"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	108	8105577	1.3
	"53 years"	"53"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	23	8323434	0.3
	"53 years"	"53"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	119	8105577	1.5
	"54 years"	"54"	"Transport accidents"	"V01-V99"	"Female"	"F"	654	8542150	7.7
	"54 years"	"54"	"Transport accidents"	"V01-V99"	"Male"	"M"	1944	8273767	23.5
	"54 years"	"54"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2670	8542150	31.3
	"54 years"	"54"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6128	8273767	74.1
	"54 years"	"54"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	854	8542150	10.0
	"54 years"	"54"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2408	8273767	29.1
	"54 years"	"54"	"Assault"	"X85-Y09"	"Female"	"F"	200	8542150	2.3
	"54 years"	"54"	"Assault"	"X85-Y09"	"Male"	"M"	610	8273767	7.4
	"54 years"	"54"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	181	8542150	2.1
	"54 years"	"54"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	293	8273767	3.5
	"54 years"	"54"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	22	8273767	0.3
	"54 years"	"54"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	88	8542150	1.0
	"54 years"	"54"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	132	8273767	1.6
	"54 years"	"54"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	34	8542150	0.4
	"54 years"	"54"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	130	8273767	1.6
	"55 years"	"55"	"Transport accidents"	"V01-V99"	"Female"	"F"	678	8742803	7.8
	"55 years"	"55"	"Transport accidents"	"V01-V99"	"Male"	"M"	2024	8423118	24.0
	"55 years"	"55"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2850	8742803	32.6
	"55 years"	"55"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6215	8423118	73.8
	"55 years"	"55"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	844	8742803	9.7
	"55 years"	"55"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2459	8423118	29.2
	"55 years"	"55"	"Assault"	"X85-Y09"	"Female"	"F"	178	8742803	2.0
	"55 years"	"55"	"Assault"	"X85-Y09"	"Male"	"M"	585	8423118	6.9
	"55 years"	"55"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	173	8742803	2.0
	"55 years"	"55"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	345	8423118	4.1
	"55 years"	"55"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	24	8423118	0.3
	"55 years"	"55"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	119	8742803	1.4
	"55 years"	"55"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	154	8423118	1.8
	"55 years"	"55"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	31	8742803	0.4
	"55 years"	"55"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	150	8423118	1.8
	"56 years"	"56"	"Transport accidents"	"V01-V99"	"Female"	"F"	636	8873653	7.2
	"56 years"	"56"	"Transport accidents"	"V01-V99"	"Male"	"M"	2055	8488591	24.2
	"56 years"	"56"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2793	8873653	31.5
	"56 years"	"56"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6302	8488591	74.2
	"56 years"	"56"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	836	8873653	9.4
	"56 years"	"56"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2537	8488591	29.9
	"56 years"	"56"	"Assault"	"X85-Y09"	"Female"	"F"	177	8873653	2.0
	"56 years"	"56"	"Assault"	"X85-Y09"	"Male"	"M"	614	8488591	7.2
	"56 years"	"56"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	163	8873653	1.8
	"56 years"	"56"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	313	8488591	3.7
	"56 years"	"56"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	27	8488591	0.3
	"56 years"	"56"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	135	8873653	1.5
	"56 years"	"56"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	143	8488591	1.7
	"56 years"	"56"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	49	8873653	0.6
	"56 years"	"56"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	132	8488591	1.6
	"57 years"	"57"	"Transport accidents"	"V01-V99"	"Female"	"F"	677	8951039	7.6
	"57 years"	"57"	"Transport accidents"	"V01-V99"	"Male"	"M"	2123	8525372	24.9
	"57 years"	"57"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2808	8951039	31.4
	"57 years"	"57"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6338	8525372	74.3
	"57 years"	"57"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	826	8951039	9.2
	"57 years"	"57"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2661	8525372	31.2
	"57 years"	"57"	"Assault"	"X85-Y09"	"Female"	"F"	173	8951039	1.9
	"57 years"	"57"	"Assault"	"X85-Y09"	"Male"	"M"	550	8525372	6.5
	"57 years"	"57"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	174	8951039	1.9
	"57 years"	"57"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	293	8525372	3.4
	"57 years"	"57"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	31	8525372	0.4
	"57 years"	"57"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	130	8951039	1.5
	"57 years"	"57"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	154	8525372	1.8
	"57 years"	"57"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	49	8951039	0.5
	"57 years"	"57"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	149	8525372	1.7
	"58 years"	"58"	"Transport accidents"	"V01-V99"	"Female"	"F"	673	8993718	7.5
	"58 years"	"58"	"Transport accidents"	"V01-V99"	"Male"	"M"	2135	8536413	25.0
	"58 years"	"58"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2764	8993718	30.7
	"58 years"	"58"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6252	8536413	73.2
	"58 years"	"58"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	838	8993718	9.3
	"58 years"	"58"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2612	8536413	30.6
	"58 years"	"58"	"Assault"	"X85-Y09"	"Female"	"F"	200	8993718	2.2
	"58 years"	"58"	"Assault"	"X85-Y09"	"Male"	"M"	578	8536413	6.8
	"58 years"	"58"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	135	8993718	1.5
	"58 years"	"58"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	315	8536413	3.7
	"58 years"	"58"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	25	8536413	0.3
	"58 years"	"58"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	139	8993718	1.5
	"58 years"	"58"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	175	8536413	2.1
	"58 years"	"58"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	42	8993718	0.5
	"58 years"	"58"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	185	8536413	2.2
	"59 years"	"59"	"Transport accidents"	"V01-V99"	"Female"	"F"	658	8973773	7.3
	"59 years"	"59"	"Transport accidents"	"V01-V99"	"Male"	"M"	2081	8480309	24.5
	"59 years"	"59"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2671	8973773	29.8
	"59 years"	"59"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5973	8480309	70.4
	"59 years"	"59"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	744	8973773	8.3
	"59 years"	"59"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2601	8480309	30.7
	"59 years"	"59"	"Assault"	"X85-Y09"	"Female"	"F"	174	8973773	1.9
	"59 years"	"59"	"Assault"	"X85-Y09"	"Male"	"M"	483	8480309	5.7
	"59 years"	"59"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	155	8973773	1.7
	"59 years"	"59"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	319	8480309	3.8
	"59 years"	"59"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	21	8480309	0.2
	"59 years"	"59"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	159	8973773	1.8
	"59 years"	"59"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	210	8480309	2.5
	"59 years"	"59"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	52	8973773	0.6
	"59 years"	"59"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	156	8480309	1.8
	"60 years"	"60"	"Transport accidents"	"V01-V99"	"Female"	"F"	641	8901870	7.2
	"60 years"	"60"	"Transport accidents"	"V01-V99"	"Male"	"M"	2016	8373393	24.1
	"60 years"	"60"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2547	8901870	28.6
	"60 years"	"60"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5833	8373393	69.7
	"60 years"	"60"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	718	8901870	8.1
	"60 years"	"60"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2368	8373393	28.3
	"60 years"	"60"	"Assault"	"X85-Y09"	"Female"	"F"	153	8901870	1.7
	"60 years"	"60"	"Assault"	"X85-Y09"	"Male"	"M"	503	8373393	6.0
	"60 years"	"60"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	141	8901870	1.6
	"60 years"	"60"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	271	8373393	3.2
	"60 years"	"60"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	25	8373393	0.3
	"60 years"	"60"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	160	8901870	1.8
	"60 years"	"60"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	214	8373393	2.6
	"60 years"	"60"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	34	8901870	0.4
	"60 years"	"60"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	171	8373393	2.0
	"61 years"	"61"	"Transport accidents"	"V01-V99"	"Female"	"F"	665	8759058	7.6
	"61 years"	"61"	"Transport accidents"	"V01-V99"	"Male"	"M"	1945	8180780	23.8
	"61 years"	"61"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2450	8759058	28.0
	"61 years"	"61"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5580	8180780	68.2
	"61 years"	"61"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	726	8759058	8.3
