"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"37 years"	"37"	"Diseases of the digestive system"	"K00-K92"	2173	17445850	12.5
	"37 years"	"37"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	54	17445850	0.3
	"37 years"	"37"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	166	17445850	1.0
	"37 years"	"37"	"Diseases of the genitourinary system"	"N00-N98"	373	17445850	2.1
	"37 years"	"37"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	236	17445850	1.4
	"37 years"	"37"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	200	17445850	1.1
	"37 years"	"37"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	562	17445850	3.2
	"37 years"	"37"	"Codes for special purposes"	"U00-U99"	1714	17445850	9.8
	"37 years"	"37"	"External causes of morbidity and mortality"	"V01-Y89"	17775	17445850	101.9
	"38 years"	"38"	"Certain infectious and parasitic diseases"	"A00-B99"	798	17522774	4.6
	"38 years"	"38"	"Neoplasms"	"C00-D48"	3629	17522774	20.7
	"38 years"	"38"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	169	17522774	1.0
	"38 years"	"38"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1546	17522774	8.8
	"38 years"	"38"	"Mental and behavioural disorders"	"F01-F99"	1005	17522774	5.7
	"38 years"	"38"	"Diseases of the nervous system"	"G00-G98"	762	17522774	4.3
	"38 years"	"38"	"Diseases of the circulatory system"	"I00-I99"	5055	17522774	28.8
	"38 years"	"38"	"Diseases of the respiratory system"	"J00-J98"	892	17522774	5.1
	"38 years"	"38"	"Diseases of the digestive system"	"K00-K92"	2427	17522774	13.9
	"38 years"	"38"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	76	17522774	0.4
	"38 years"	"38"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	192	17522774	1.1
	"38 years"	"38"	"Diseases of the genitourinary system"	"N00-N98"	382	17522774	2.2
	"38 years"	"38"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	237	17522774	1.4
	"38 years"	"38"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	187	17522774	1.1
	"38 years"	"38"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	645	17522774	3.7
	"38 years"	"38"	"Codes for special purposes"	"U00-U99"	1860	17522774	10.6
	"38 years"	"38"	"External causes of morbidity and mortality"	"V01-Y89"	17802	17522774	101.6
	"39 years"	"39"	"Certain infectious and parasitic diseases"	"A00-B99"	951	17259243	5.5
	"39 years"	"39"	"Neoplasms"	"C00-D48"	4217	17259243	24.4
	"39 years"	"39"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	234	17259243	1.4
	"39 years"	"39"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1750	17259243	10.1
	"39 years"	"39"	"Mental and behavioural disorders"	"F01-F99"	1006	17259243	5.8
	"39 years"	"39"	"Diseases of the nervous system"	"G00-G98"	886	17259243	5.1
	"39 years"	"39"	"Diseases of the circulatory system"	"I00-I99"	5553	17259243	32.2
	"39 years"	"39"	"Diseases of the respiratory system"	"J00-J98"	939	17259243	5.4
	"39 years"	"39"	"Diseases of the digestive system"	"K00-K92"	2512	17259243	14.6
	"39 years"	"39"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	71	17259243	0.4
	"39 years"	"39"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	182	17259243	1.1
	"39 years"	"39"	"Diseases of the genitourinary system"	"N00-N98"	409	17259243	2.4
	"39 years"	"39"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	211	17259243	1.2
	"39 years"	"39"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	156	17259243	0.9
	"39 years"	"39"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	639	17259243	3.7
	"39 years"	"39"	"Codes for special purposes"	"U00-U99"	2043	17259243	11.8
	"39 years"	"39"	"External causes of morbidity and mortality"	"V01-Y89"	17704	17259243	102.6
	"40 years"	"40"	"Certain infectious and parasitic diseases"	"A00-B99"	997	16907380	5.9
	"40 years"	"40"	"Neoplasms"	"C00-D48"	4468	16907380	26.4
	"40 years"	"40"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	204	16907380	1.2
	"40 years"	"40"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1793	16907380	10.6
	"40 years"	"40"	"Mental and behavioural disorders"	"F01-F99"	1173	16907380	6.9
	"40 years"	"40"	"Diseases of the nervous system"	"G00-G98"	862	16907380	5.1
	"40 years"	"40"	"Diseases of the circulatory system"	"I00-I99"	6246	16907380	36.9
	"40 years"	"40"	"Diseases of the respiratory system"	"J00-J98"	1062	16907380	6.3
	"40 years"	"40"	"Diseases of the digestive system"	"K00-K92"	2661	16907380	15.7
	"40 years"	"40"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	55	16907380	0.3
	"40 years"	"40"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	194	16907380	1.1
	"40 years"	"40"	"Diseases of the genitourinary system"	"N00-N98"	442	16907380	2.6
	"40 years"	"40"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	199	16907380	1.2
	"40 years"	"40"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	198	16907380	1.2
	"40 years"	"40"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	623	16907380	3.7
	"40 years"	"40"	"Codes for special purposes"	"U00-U99"	2207	16907380	13.1
	"40 years"	"40"	"External causes of morbidity and mortality"	"V01-Y89"	16972	16907380	100.4
	"41 years"	"41"	"Certain infectious and parasitic diseases"	"A00-B99"	979	16479420	5.9
	"41 years"	"41"	"Neoplasms"	"C00-D48"	5014	16479420	30.4
	"41 years"	"41"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	205	16479420	1.2
	"41 years"	"41"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1973	16479420	12.0
	"41 years"	"41"	"Mental and behavioural disorders"	"F01-F99"	1081	16479420	6.6
	"41 years"	"41"	"Diseases of the nervous system"	"G00-G98"	880	16479420	5.3
	"41 years"	"41"	"Diseases of the circulatory system"	"I00-I99"	6743	16479420	40.9
	"41 years"	"41"	"Diseases of the respiratory system"	"J00-J98"	1100	16479420	6.7
	"41 years"	"41"	"Diseases of the digestive system"	"K00-K92"	2687	16479420	16.3
	"41 years"	"41"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	70	16479420	0.4
	"41 years"	"41"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	223	16479420	1.4
	"41 years"	"41"	"Diseases of the genitourinary system"	"N00-N98"	457	16479420	2.8
	"41 years"	"41"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	153	16479420	0.9
	"41 years"	"41"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	188	16479420	1.1
	"41 years"	"41"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	628	16479420	3.8
	"41 years"	"41"	"Codes for special purposes"	"U00-U99"	2492	16479420	15.1
	"41 years"	"41"	"External causes of morbidity and mortality"	"V01-Y89"	16312	16479420	99.0
	"42 years"	"42"	"Certain infectious and parasitic diseases"	"A00-B99"	1020	16048845	6.4
	"42 years"	"42"	"Neoplasms"	"C00-D48"	5414	16048845	33.7
	"42 years"	"42"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	187	16048845	1.2
	"42 years"	"42"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1994	16048845	12.4
	"42 years"	"42"	"Mental and behavioural disorders"	"F01-F99"	1099	16048845	6.8
	"42 years"	"42"	"Diseases of the nervous system"	"G00-G98"	952	16048845	5.9
	"42 years"	"42"	"Diseases of the circulatory system"	"I00-I99"	7368	16048845	45.9
	"42 years"	"42"	"Diseases of the respiratory system"	"J00-J98"	1180	16048845	7.4
	"42 years"	"42"	"Diseases of the digestive system"	"K00-K92"	2816	16048845	17.5
	"42 years"	"42"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	69	16048845	0.4
	"42 years"	"42"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	236	16048845	1.5
	"42 years"	"42"	"Diseases of the genitourinary system"	"N00-N98"	565	16048845	3.5
	"42 years"	"42"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	151	16048845	0.9
	"42 years"	"42"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	188	16048845	1.2
	"42 years"	"42"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	629	16048845	3.9
	"42 years"	"42"	"Codes for special purposes"	"U00-U99"	2683	16048845	16.7
	"42 years"	"42"	"External causes of morbidity and mortality"	"V01-Y89"	15264	16048845	95.1
	"43 years"	"43"	"Certain infectious and parasitic diseases"	"A00-B99"	1120	15900461	7.0
	"43 years"	"43"	"Neoplasms"	"C00-D48"	5988	15900461	37.7
	"43 years"	"43"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	184	15900461	1.2
	"43 years"	"43"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2172	15900461	13.7
	"43 years"	"43"	"Mental and behavioural disorders"	"F01-F99"	1099	15900461	6.9
	"43 years"	"43"	"Diseases of the nervous system"	"G00-G98"	985	15900461	6.2
	"43 years"	"43"	"Diseases of the circulatory system"	"I00-I99"	8067	15900461	50.7
	"43 years"	"43"	"Diseases of the respiratory system"	"J00-J98"	1315	15900461	8.3
	"43 years"	"43"	"Diseases of the digestive system"	"K00-K92"	3073	15900461	19.3
	"43 years"	"43"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	83	15900461	0.5
	"43 years"	"43"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	228	15900461	1.4
	"43 years"	"43"	"Diseases of the genitourinary system"	"N00-N98"	547	15900461	3.4
	"43 years"	"43"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	105	15900461	0.7
	"43 years"	"43"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	196	15900461	1.2
	"43 years"	"43"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	588	15900461	3.7
	"43 years"	"43"	"Codes for special purposes"	"U00-U99"	2887	15900461	18.2
	"43 years"	"43"	"External causes of morbidity and mortality"	"V01-Y89"	14742	15900461	92.7
	"44 years"	"44"	"Certain infectious and parasitic diseases"	"A00-B99"	1190	15712242	7.6
	"44 years"	"44"	"Neoplasms"	"C00-D48"	6564	15712242	41.8
	"44 years"	"44"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	231	15712242	1.5
	"44 years"	"44"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2399	15712242	15.3
	"44 years"	"44"	"Mental and behavioural disorders"	"F01-F99"	1075	15712242	6.8
	"44 years"	"44"	"Diseases of the nervous system"	"G00-G98"	1036	15712242	6.6
	"44 years"	"44"	"Diseases of the circulatory system"	"I00-I99"	8741	15712242	55.6
	"44 years"	"44"	"Diseases of the respiratory system"	"J00-J98"	1416	15712242	9.0
	"44 years"	"44"	"Diseases of the digestive system"	"K00-K92"	3299	15712242	21.0
	"44 years"	"44"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	79	15712242	0.5
	"44 years"	"44"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	249	15712242	1.6
	"44 years"	"44"	"Diseases of the genitourinary system"	"N00-N98"	679	15712242	4.3
	"44 years"	"44"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	68	15712242	0.4
	"44 years"	"44"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	190	15712242	1.2
	"44 years"	"44"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	588	15712242	3.7
	"44 years"	"44"	"Codes for special purposes"	"U00-U99"	3260	15712242	20.7
	"44 years"	"44"	"External causes of morbidity and mortality"	"V01-Y89"	14242	15712242	90.6
	"45 years"	"45"	"Certain infectious and parasitic diseases"	"A00-B99"	1299	15608227	8.3
	"45 years"	"45"	"Neoplasms"	"C00-D48"	7538	15608227	48.3
	"45 years"	"45"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	230	15608227	1.5
	"45 years"	"45"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2581	15608227	16.5
	"45 years"	"45"	"Mental and behavioural disorders"	"F01-F99"	1180	15608227	7.6
	"45 years"	"45"	"Diseases of the nervous system"	"G00-G98"	1146	15608227	7.3
	"45 years"	"45"	"Diseases of the circulatory system"	"I00-I99"	9698	15608227	62.1
	"45 years"	"45"	"Diseases of the respiratory system"	"J00-J98"	1556	15608227	10.0
	"45 years"	"45"	"Diseases of the digestive system"	"K00-K92"	3379	15608227	21.6
	"45 years"	"45"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	106	15608227	0.7
	"45 years"	"45"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	261	15608227	1.7
	"45 years"	"45"	"Diseases of the genitourinary system"	"N00-N98"	704	15608227	4.5
	"45 years"	"45"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	18	15608227	Unreliable
	"45 years"	"45"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	210	15608227	1.3
	"45 years"	"45"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	581	15608227	3.7
	"45 years"	"45"	"Codes for special purposes"	"U00-U99"	3443	15608227	22.1
	"45 years"	"45"	"External causes of morbidity and mortality"	"V01-Y89"	14178	15608227	90.8
	"46 years"	"46"	"Certain infectious and parasitic diseases"	"A00-B99"	1428	15742311	9.1
	"46 years"	"46"	"Neoplasms"	"C00-D48"	8500	15742311	54.0
	"46 years"	"46"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	295	15742311	1.9
	"46 years"	"46"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2892	15742311	18.4
	"46 years"	"46"	"Mental and behavioural disorders"	"F01-F99"	1375	15742311	8.7
	"46 years"	"46"	"Diseases of the nervous system"	"G00-G98"	1236	15742311	7.9
	"46 years"	"46"	"Diseases of the circulatory system"	"I00-I99"	11096	15742311	70.5
	"46 years"	"46"	"Diseases of the respiratory system"	"J00-J98"	1797	15742311	11.4
	"46 years"	"46"	"Diseases of the digestive system"	"K00-K92"	3724	15742311	23.7
	"46 years"	"46"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	105	15742311	0.7
	"46 years"	"46"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	305	15742311	1.9
	"46 years"	"46"	"Diseases of the genitourinary system"	"N00-N98"	828	15742311	5.3
	"46 years"	"46"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	237	15742311	1.5
	"46 years"	"46"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	639	15742311	4.1
	"46 years"	"46"	"Codes for special purposes"	"U00-U99"	3820	15742311	24.3
	"46 years"	"46"	"External causes of morbidity and mortality"	"V01-Y89"	14298	15742311	90.8
	"47 years"	"47"	"Certain infectious and parasitic diseases"	"A00-B99"	1527	16111488	9.5
	"47 years"	"47"	"Neoplasms"	"C00-D48"	9873	16111488	61.3
	"47 years"	"47"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	271	16111488	1.7
	"47 years"	"47"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3264	16111488	20.3
	"47 years"	"47"	"Mental and behavioural disorders"	"F01-F99"	1391	16111488	8.6
	"47 years"	"47"	"Diseases of the nervous system"	"G00-G98"	1403	16111488	8.7
	"47 years"	"47"	"Diseases of the circulatory system"	"I00-I99"	12365	16111488	76.7
	"47 years"	"47"	"Diseases of the respiratory system"	"J00-J98"	2081	16111488	12.9
	"47 years"	"47"	"Diseases of the digestive system"	"K00-K92"	4219	16111488	26.2
	"47 years"	"47"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	100	16111488	0.6
	"47 years"	"47"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	294	16111488	1.8
	"47 years"	"47"	"Diseases of the genitourinary system"	"N00-N98"	929	16111488	5.8
	"47 years"	"47"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	226	16111488	1.4
	"47 years"	"47"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	666	16111488	4.1
	"47 years"	"47"	"Codes for special purposes"	"U00-U99"	4098	16111488	25.4
	"47 years"	"47"	"External causes of morbidity and mortality"	"V01-Y89"	14486	16111488	89.9
	"48 years"	"48"	"Certain infectious and parasitic diseases"	"A00-B99"	1753	16603311	10.6
	"48 years"	"48"	"Neoplasms"	"C00-D48"	11408	16603311	68.7
	"48 years"	"48"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	333	16603311	2.0
	"48 years"	"48"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3550	16603311	21.4
	"48 years"	"48"	"Mental and behavioural disorders"	"F01-F99"	1525	16603311	9.2
	"48 years"	"48"	"Diseases of the nervous system"	"G00-G98"	1527	16603311	9.2
	"48 years"	"48"	"Diseases of the circulatory system"	"I00-I99"	13883	16603311	83.6
	"48 years"	"48"	"Diseases of the respiratory system"	"J00-J98"	2345	16603311	14.1
	"48 years"	"48"	"Diseases of the digestive system"	"K00-K92"	4728	16603311	28.5
	"48 years"	"48"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	115	16603311	0.7
	"48 years"	"48"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	357	16603311	2.2
	"48 years"	"48"	"Diseases of the genitourinary system"	"N00-N98"	995	16603311	6.0
	"48 years"	"48"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	243	16603311	1.5
	"48 years"	"48"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	736	16603311	4.4
	"48 years"	"48"	"Codes for special purposes"	"U00-U99"	4723	16603311	28.4
	"48 years"	"48"	"External causes of morbidity and mortality"	"V01-Y89"	15367	16603311	92.6
	"49 years"	"49"	"Certain infectious and parasitic diseases"	"A00-B99"	1942	16831665	11.5
	"49 years"	"49"	"Neoplasms"	"C00-D48"	12923	16831665	76.8
	"49 years"	"49"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	340	16831665	2.0
	"49 years"	"49"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4007	16831665	23.8
	"49 years"	"49"	"Mental and behavioural disorders"	"F01-F99"	1653	16831665	9.8
	"49 years"	"49"	"Diseases of the nervous system"	"G00-G98"	1641	16831665	9.7
	"49 years"	"49"	"Diseases of the circulatory system"	"I00-I99"	15391	16831665	91.4
	"49 years"	"49"	"Diseases of the respiratory system"	"J00-J98"	2775	16831665	16.5
	"49 years"	"49"	"Diseases of the digestive system"	"K00-K92"	5212	16831665	31.0
	"49 years"	"49"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	125	16831665	0.7
	"49 years"	"49"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	382	16831665	2.3
	"49 years"	"49"	"Diseases of the genitourinary system"	"N00-N98"	1184	16831665	7.0
	"49 years"	"49"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	296	16831665	1.8
	"49 years"	"49"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	762	16831665	4.5
	"49 years"	"49"	"Codes for special purposes"	"U00-U99"	5220	16831665	31.0
	"49 years"	"49"	"External causes of morbidity and mortality"	"V01-Y89"	15823	16831665	94.0
	"50 years"	"50"	"Certain infectious and parasitic diseases"	"A00-B99"	2032	16799801	12.1
	"50 years"	"50"	"Neoplasms"	"C00-D48"	14532	16799801	86.5
	"50 years"	"50"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	318	16799801	1.9
	"50 years"	"50"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4324	16799801	25.7
	"50 years"	"50"	"Mental and behavioural disorders"	"F01-F99"	1725	16799801	10.3
	"50 years"	"50"	"Diseases of the nervous system"	"G00-G98"	1722	16799801	10.3
	"50 years"	"50"	"Diseases of the circulatory system"	"I00-I99"	17567	16799801	104.6
	"50 years"	"50"	"Diseases of the respiratory system"	"J00-J98"	3111	16799801	18.5
	"50 years"	"50"	"Diseases of the digestive system"	"K00-K92"	5736	16799801	34.1
	"50 years"	"50"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	131	16799801	0.8
	"50 years"	"50"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	375	16799801	2.2
	"50 years"	"50"	"Diseases of the genitourinary system"	"N00-N98"	1271	16799801	7.6
	"50 years"	"50"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	309	16799801	1.8
	"50 years"	"50"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	809	16799801	4.8
	"50 years"	"50"	"Codes for special purposes"	"U00-U99"	5901	16799801	35.1
	"50 years"	"50"	"External causes of morbidity and mortality"	"V01-Y89"	15743	16799801	93.7
	"51 years"	"51"	"Certain infectious and parasitic diseases"	"A00-B99"	2311	16403658	14.1
	"51 years"	"51"	"Neoplasms"	"C00-D48"	16086	16403658	98.1
	"51 years"	"51"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	343	16403658	2.1
	"51 years"	"51"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4833	16403658	29.5
	"51 years"	"51"	"Mental and behavioural disorders"	"F01-F99"	1851	16403658	11.3
	"51 years"	"51"	"Diseases of the nervous system"	"G00-G98"	1915	16403658	11.7
	"51 years"	"51"	"Diseases of the circulatory system"	"I00-I99"	18856	16403658	114.9
	"51 years"	"51"	"Diseases of the respiratory system"	"J00-J98"	3556	16403658	21.7
	"51 years"	"51"	"Diseases of the digestive system"	"K00-K92"	6014	16403658	36.7
	"51 years"	"51"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	152	16403658	0.9
	"51 years"	"51"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	381	16403658	2.3
	"51 years"	"51"	"Diseases of the genitourinary system"	"N00-N98"	1400	16403658	8.5
	"51 years"	"51"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	309	16403658	1.9
	"51 years"	"51"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	819	16403658	5.0
	"51 years"	"51"	"Codes for special purposes"	"U00-U99"	6062	16403658	37.0
	"51 years"	"51"	"External causes of morbidity and mortality"	"V01-Y89"	15325	16403658	93.4
	"52 years"	"52"	"Certain infectious and parasitic diseases"	"A00-B99"	2399	16215781	14.8
	"52 years"	"52"	"Neoplasms"	"C00-D48"	17964	16215781	110.8
	"52 years"	"52"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	383	16215781	2.4
	"52 years"	"52"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5107	16215781	31.5
	"52 years"	"52"	"Mental and behavioural disorders"	"F01-F99"	1837	16215781	11.3
	"52 years"	"52"	"Diseases of the nervous system"	"G00-G98"	1999	16215781	12.3
	"52 years"	"52"	"Diseases of the circulatory system"	"I00-I99"	20726	16215781	127.8
	"52 years"	"52"	"Diseases of the respiratory system"	"J00-J98"	4060	16215781	25.0
	"52 years"	"52"	"Diseases of the digestive system"	"K00-K92"	6594	16215781	40.7
	"52 years"	"52"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	163	16215781	1.0
	"52 years"	"52"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	453	16215781	2.8
	"52 years"	"52"	"Diseases of the genitourinary system"	"N00-N98"	1520	16215781	9.4
	"52 years"	"52"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	316	16215781	1.9
	"52 years"	"52"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	845	16215781	5.2
	"52 years"	"52"	"Codes for special purposes"	"U00-U99"	6544	16215781	40.4
	"52 years"	"52"	"External causes of morbidity and mortality"	"V01-Y89"	15554	16215781	95.9
	"53 years"	"53"	"Certain infectious and parasitic diseases"	"A00-B99"	2752	16429011	16.8
	"53 years"	"53"	"Neoplasms"	"C00-D48"	20470	16429011	124.6
	"53 years"	"53"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	431	16429011	2.6
	"53 years"	"53"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5513	16429011	33.6
	"53 years"	"53"	"Mental and behavioural disorders"	"F01-F99"	1974	16429011	12.0
	"53 years"	"53"	"Diseases of the nervous system"	"G00-G98"	2266	16429011	13.8
	"53 years"	"53"	"Diseases of the circulatory system"	"I00-I99"	22717	16429011	138.3
	"53 years"	"53"	"Diseases of the respiratory system"	"J00-J98"	4772	16429011	29.0
	"53 years"	"53"	"Diseases of the digestive system"	"K00-K92"	6993	16429011	42.6
	"53 years"	"53"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	163	16429011	1.0
	"53 years"	"53"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	456	16429011	2.8
	"53 years"	"53"	"Diseases of the genitourinary system"	"N00-N98"	1629	16429011	9.9
	"53 years"	"53"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	386	16429011	2.3
	"53 years"	"53"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	927	16429011	5.6
	"53 years"	"53"	"Codes for special purposes"	"U00-U99"	6763	16429011	41.2
	"53 years"	"53"	"External causes of morbidity and mortality"	"V01-Y89"	15645	16429011	95.2
	"54 years"	"54"	"Certain infectious and parasitic diseases"	"A00-B99"	3134	16815917	18.6
	"54 years"	"54"	"Neoplasms"	"C00-D48"	23858	16815917	141.9
	"54 years"	"54"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	446	16815917	2.7
	"54 years"	"54"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6037	16815917	35.9
	"54 years"	"54"	"Mental and behavioural disorders"	"F01-F99"	2162	16815917	12.9
	"54 years"	"54"	"Diseases of the nervous system"	"G00-G98"	2550	16815917	15.2
	"54 years"	"54"	"Diseases of the circulatory system"	"I00-I99"	25693	16815917	152.8
	"54 years"	"54"	"Diseases of the respiratory system"	"J00-J98"	5625	16815917	33.5
	"54 years"	"54"	"Diseases of the digestive system"	"K00-K92"	7846	16815917	46.7
	"54 years"	"54"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	218	16815917	1.3
	"54 years"	"54"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	498	16815917	3.0
	"54 years"	"54"	"Diseases of the genitourinary system"	"N00-N98"	1904	16815917	11.3
	"54 years"	"54"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	425	16815917	2.5
	"54 years"	"54"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	994	16815917	5.9
	"54 years"	"54"	"Codes for special purposes"	"U00-U99"	7284	16815917	43.3
