"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"54 years"	"54"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	276	8542150	3.2
	"54 years"	"54"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	810	8542150	9.5
	"54 years"	"54"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	200	8542150	2.3
	"54 years"	"54"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	357	8542150	4.2
	"54 years"	"54"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	2597	8542150	30.4
	"54 years"	"54"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4683	8542150	54.8
	"54 years"	"54"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	1893	8273767	22.9
	"54 years"	"54"	"Male"	"M"	"Neoplasms"	"C00-D48"	11990	8273767	144.9
	"54 years"	"54"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	233	8273767	2.8
	"54 years"	"54"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3772	8273767	45.6
	"54 years"	"54"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	1571	8273767	19.0
	"54 years"	"54"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	1413	8273767	17.1
	"54 years"	"54"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	17845	8273767	215.7
	"54 years"	"54"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	2959	8273767	35.8
	"54 years"	"54"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	4886	8273767	59.1
	"54 years"	"54"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	116	8273767	1.4
	"54 years"	"54"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	222	8273767	2.7
	"54 years"	"54"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1094	8273767	13.2
	"54 years"	"54"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	225	8273767	2.7
	"54 years"	"54"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	637	8273767	7.7
	"54 years"	"54"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	4687	8273767	56.6
	"54 years"	"54"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	11667	8273767	141.0
	"55 years"	"55"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	1356	8742803	15.5
	"55 years"	"55"	"Female"	"F"	"Neoplasms"	"C00-D48"	13391	8742803	153.2
	"55 years"	"55"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	239	8742803	2.7
	"55 years"	"55"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2483	8742803	28.4
	"55 years"	"55"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	689	8742803	7.9
	"55 years"	"55"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	1340	8742803	15.3
	"55 years"	"55"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	8964	8742803	102.5
	"55 years"	"55"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	3162	8742803	36.2
	"55 years"	"55"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	3165	8742803	36.2
	"55 years"	"55"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	120	8742803	1.4
	"55 years"	"55"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	327	8742803	3.7
	"55 years"	"55"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	793	8742803	9.1
	"55 years"	"55"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	204	8742803	2.3
	"55 years"	"55"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	378	8742803	4.3
	"55 years"	"55"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	2846	8742803	32.6
	"55 years"	"55"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4873	8742803	55.7
	"55 years"	"55"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2078	8423118	24.7
	"55 years"	"55"	"Male"	"M"	"Neoplasms"	"C00-D48"	14487	8423118	172.0
	"55 years"	"55"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	251	8423118	3.0
	"55 years"	"55"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4359	8423118	51.8
	"55 years"	"55"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	1729	8423118	20.5
	"55 years"	"55"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	1541	8423118	18.3
	"55 years"	"55"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	19482	8423118	231.3
	"55 years"	"55"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	3583	8423118	42.5
	"55 years"	"55"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	5381	8423118	63.9
	"55 years"	"55"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	128	8423118	1.5
	"55 years"	"55"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	243	8423118	2.9
	"55 years"	"55"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1167	8423118	13.9
	"55 years"	"55"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	221	8423118	2.6
	"55 years"	"55"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	711	8423118	8.4
	"55 years"	"55"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	5045	8423118	59.9
	"55 years"	"55"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	11956	8423118	141.9
	"56 years"	"56"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	1498	8873653	16.9
	"56 years"	"56"	"Female"	"F"	"Neoplasms"	"C00-D48"	15178	8873653	171.0
	"56 years"	"56"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	262	8873653	3.0
	"56 years"	"56"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	2828	8873653	31.9
	"56 years"	"56"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	746	8873653	8.4
	"56 years"	"56"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	1485	8873653	16.7
	"56 years"	"56"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	10039	8873653	113.1
	"56 years"	"56"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	3707	8873653	41.8
	"56 years"	"56"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	3427	8873653	38.6
	"56 years"	"56"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	130	8873653	1.5
	"56 years"	"56"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	331	8873653	3.7
	"56 years"	"56"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	966	8873653	10.9
	"56 years"	"56"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	217	8873653	2.4
	"56 years"	"56"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	440	8873653	5.0
	"56 years"	"56"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	3215	8873653	36.2
	"56 years"	"56"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4793	8873653	54.0
	"56 years"	"56"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2281	8488591	26.9
	"56 years"	"56"	"Male"	"M"	"Neoplasms"	"C00-D48"	16246	8488591	191.4
	"56 years"	"56"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	245	8488591	2.9
	"56 years"	"56"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4750	8488591	56.0
	"56 years"	"56"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	1881	8488591	22.2
	"56 years"	"56"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	1757	8488591	20.7
	"56 years"	"56"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	21989	8488591	259.0
	"56 years"	"56"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	4023	8488591	47.4
	"56 years"	"56"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	5899	8488591	69.5
	"56 years"	"56"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	153	8488591	1.8
	"56 years"	"56"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	284	8488591	3.3
	"56 years"	"56"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1284	8488591	15.1
	"56 years"	"56"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	240	8488591	2.8
	"56 years"	"56"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	738	8488591	8.7
	"56 years"	"56"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	5761	8488591	67.9
	"56 years"	"56"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	12123	8488591	142.8
	"57 years"	"57"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	1604	8951039	17.9
	"57 years"	"57"	"Female"	"F"	"Neoplasms"	"C00-D48"	16884	8951039	188.6
	"57 years"	"57"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	274	8951039	3.1
	"57 years"	"57"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3066	8951039	34.3
	"57 years"	"57"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	808	8951039	9.0
	"57 years"	"57"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	1617	8951039	18.1
	"57 years"	"57"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	11188	8951039	125.0
	"57 years"	"57"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	4320	8951039	48.3
	"57 years"	"57"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	3636	8951039	40.6
	"57 years"	"57"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	125	8951039	1.4
	"57 years"	"57"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	396	8951039	4.4
	"57 years"	"57"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	1153	8951039	12.9
	"57 years"	"57"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	273	8951039	3.0
	"57 years"	"57"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	473	8951039	5.3
	"57 years"	"57"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	3479	8951039	38.9
	"57 years"	"57"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4838	8951039	54.0
	"57 years"	"57"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2417	8525372	28.4
	"57 years"	"57"	"Male"	"M"	"Neoplasms"	"C00-D48"	18522	8525372	217.3
	"57 years"	"57"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	284	8525372	3.3
	"57 years"	"57"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5059	8525372	59.3
	"57 years"	"57"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	1949	8525372	22.9
	"57 years"	"57"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	1995	8525372	23.4
	"57 years"	"57"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	24054	8525372	282.1
	"57 years"	"57"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	4634	8525372	54.4
	"57 years"	"57"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	6122	8525372	71.8
	"57 years"	"57"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	151	8525372	1.8
	"57 years"	"57"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	306	8525372	3.6
	"57 years"	"57"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1473	8525372	17.3
	"57 years"	"57"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	277	8525372	3.2
	"57 years"	"57"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	836	8525372	9.8
	"57 years"	"57"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	5952	8525372	69.8
	"57 years"	"57"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	12299	8525372	144.3
	"58 years"	"58"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	1780	8993718	19.8
	"58 years"	"58"	"Female"	"F"	"Neoplasms"	"C00-D48"	18167	8993718	202.0
	"58 years"	"58"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	302	8993718	3.4
	"58 years"	"58"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3234	8993718	36.0
	"58 years"	"58"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	789	8993718	8.8
	"58 years"	"58"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	1823	8993718	20.3
	"58 years"	"58"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	12036	8993718	133.8
	"58 years"	"58"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	4947	8993718	55.0
	"58 years"	"58"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	3713	8993718	41.3
	"58 years"	"58"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	137	8993718	1.5
	"58 years"	"58"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	385	8993718	4.3
	"58 years"	"58"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	1304	8993718	14.5
	"58 years"	"58"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	269	8993718	3.0
	"58 years"	"58"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	479	8993718	5.3
	"58 years"	"58"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	3903	8993718	43.4
	"58 years"	"58"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4792	8993718	53.3
	"58 years"	"58"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2587	8536413	30.3
	"58 years"	"58"	"Male"	"M"	"Neoplasms"	"C00-D48"	20753	8536413	243.1
	"58 years"	"58"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	319	8536413	3.7
	"58 years"	"58"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5546	8536413	65.0
	"58 years"	"58"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	2026	8536413	23.7
	"58 years"	"58"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	2192	8536413	25.7
	"58 years"	"58"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	26173	8536413	306.6
	"58 years"	"58"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	5249	8536413	61.5
	"58 years"	"58"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	6445	8536413	75.5
	"58 years"	"58"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	163	8536413	1.9
	"58 years"	"58"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	371	8536413	4.3
	"58 years"	"58"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1526	8536413	17.9
	"58 years"	"58"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	304	8536413	3.6
	"58 years"	"58"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	874	8536413	10.2
	"58 years"	"58"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	6357	8536413	74.5
	"58 years"	"58"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	12277	8536413	143.8
	"59 years"	"59"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	1914	8973773	21.3
	"59 years"	"59"	"Female"	"F"	"Neoplasms"	"C00-D48"	20143	8973773	224.5
	"59 years"	"59"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	297	8973773	3.3
	"59 years"	"59"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3648	8973773	40.7
	"59 years"	"59"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	872	8973773	9.7
	"59 years"	"59"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	2042	8973773	22.8
	"59 years"	"59"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	13169	8973773	146.7
	"59 years"	"59"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	5579	8973773	62.2
	"59 years"	"59"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	3967	8973773	44.2
	"59 years"	"59"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	137	8973773	1.5
	"59 years"	"59"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	450	8973773	5.0
	"59 years"	"59"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	1367	8973773	15.2
	"59 years"	"59"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	237	8973773	2.6
	"59 years"	"59"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	482	8973773	5.4
	"59 years"	"59"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	4249	8973773	47.3
	"59 years"	"59"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4617	8973773	51.4
	"59 years"	"59"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2781	8480309	32.8
	"59 years"	"59"	"Male"	"M"	"Neoplasms"	"C00-D48"	23285	8480309	274.6
	"59 years"	"59"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	298	8480309	3.5
	"59 years"	"59"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	5766	8480309	68.0
	"59 years"	"59"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	2141	8480309	25.2
	"59 years"	"59"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	2236	8480309	26.4
	"59 years"	"59"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	28020	8480309	330.4
	"59 years"	"59"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	6215	8480309	73.3
	"59 years"	"59"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	6720	8480309	79.2
	"59 years"	"59"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	133	8480309	1.6
	"59 years"	"59"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	362	8480309	4.3
	"59 years"	"59"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1731	8480309	20.4
	"59 years"	"59"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	287	8480309	3.4
	"59 years"	"59"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	876	8480309	10.3
	"59 years"	"59"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	7042	8480309	83.0
	"59 years"	"59"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	11844	8480309	139.7
	"60 years"	"60"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	2010	8901870	22.6
	"60 years"	"60"	"Female"	"F"	"Neoplasms"	"C00-D48"	21751	8901870	244.3
	"60 years"	"60"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	329	8901870	3.7
	"60 years"	"60"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	3867	8901870	43.4
	"60 years"	"60"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	886	8901870	10.0
	"60 years"	"60"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	2232	8901870	25.1
	"60 years"	"60"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	14397	8901870	161.7
	"60 years"	"60"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	6127	8901870	68.8
	"60 years"	"60"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4191	8901870	47.1
	"60 years"	"60"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	153	8901870	1.7
	"60 years"	"60"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	439	8901870	4.9
	"60 years"	"60"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	1468	8901870	16.5
	"60 years"	"60"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	267	8901870	3.0
	"60 years"	"60"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	563	8901870	6.3
	"60 years"	"60"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	4566	8901870	51.3
	"60 years"	"60"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4395	8901870	49.4
	"60 years"	"60"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	2933	8373393	35.0
	"60 years"	"60"	"Male"	"M"	"Neoplasms"	"C00-D48"	25410	8373393	303.5
	"60 years"	"60"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	346	8373393	4.1
	"60 years"	"60"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6254	8373393	74.7
	"60 years"	"60"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	2170	8373393	25.9
	"60 years"	"60"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	2591	8373393	30.9
	"60 years"	"60"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	30388	8373393	362.9
	"60 years"	"60"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	6670	8373393	79.7
	"60 years"	"60"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	6745	8373393	80.6
	"60 years"	"60"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	172	8373393	2.1
	"60 years"	"60"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	376	8373393	4.5
	"60 years"	"60"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	1896	8373393	22.6
	"60 years"	"60"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	281	8373393	3.4
	"60 years"	"60"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	934	8373393	11.2
	"60 years"	"60"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	7501	8373393	89.6
	"60 years"	"60"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	11401	8373393	136.2
	"61 years"	"61"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	2134	8759058	24.4
	"61 years"	"61"	"Female"	"F"	"Neoplasms"	"C00-D48"	23469	8759058	267.9
	"61 years"	"61"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	347	8759058	4.0
	"61 years"	"61"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	4126	8759058	47.1
	"61 years"	"61"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	929	8759058	10.6
	"61 years"	"61"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	2380	8759058	27.2
	"61 years"	"61"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	15480	8759058	176.7
	"61 years"	"61"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	6598	8759058	75.3
	"61 years"	"61"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	4278	8759058	48.8
	"61 years"	"61"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	176	8759058	2.0
	"61 years"	"61"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	502	8759058	5.7
	"61 years"	"61"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	1648	8759058	18.8
	"61 years"	"61"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	236	8759058	2.7
	"61 years"	"61"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	570	8759058	6.5
	"61 years"	"61"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	4848	8759058	55.3
	"61 years"	"61"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4362	8759058	49.8
	"61 years"	"61"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	3075	8180780	37.6
	"61 years"	"61"	"Male"	"M"	"Neoplasms"	"C00-D48"	28375	8180780	346.8
	"61 years"	"61"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	360	8180780	4.4
	"61 years"	"61"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	6664	8180780	81.5
	"61 years"	"61"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	2133	8180780	26.1
	"61 years"	"61"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	2733	8180780	33.4
	"61 years"	"61"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	32028	8180780	391.5
	"61 years"	"61"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	7737	8180780	94.6
	"61 years"	"61"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	6850	8180780	83.7
	"61 years"	"61"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	188	8180780	2.3
	"61 years"	"61"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	424	8180780	5.2
	"61 years"	"61"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	2145	8180780	26.2
	"61 years"	"61"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	260	8180780	3.2
