"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"87 years"	"87"	"Complications of medical and surgical care"	"Y40-Y84"	338	Not Applicable	Not Applicable
	"87 years"	"87"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	97	Not Applicable	Not Applicable
	"88 years"	"88"	"Transport accidents"	"V01-V99"	604	Not Applicable	Not Applicable
	"88 years"	"88"	"Other external causes of accidental injury"	"W00-X59"	8375	Not Applicable	Not Applicable
	"88 years"	"88"	"Intentional self-harm"	"X60-X84"	606	Not Applicable	Not Applicable
	"88 years"	"88"	"Assault"	"X85-Y09"	32	Not Applicable	Not Applicable
	"88 years"	"88"	"Event of undetermined intent"	"Y10-Y34"	51	Not Applicable	Not Applicable
	"88 years"	"88"	"Complications of medical and surgical care"	"Y40-Y84"	329	Not Applicable	Not Applicable
	"88 years"	"88"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	97	Not Applicable	Not Applicable
	"89 years"	"89"	"Transport accidents"	"V01-V99"	522	Not Applicable	Not Applicable
	"89 years"	"89"	"Other external causes of accidental injury"	"W00-X59"	8314	Not Applicable	Not Applicable
	"89 years"	"89"	"Intentional self-harm"	"X60-X84"	490	Not Applicable	Not Applicable
	"89 years"	"89"	"Assault"	"X85-Y09"	52	Not Applicable	Not Applicable
	"89 years"	"89"	"Event of undetermined intent"	"Y10-Y34"	48	Not Applicable	Not Applicable
	"89 years"	"89"	"Complications of medical and surgical care"	"Y40-Y84"	297	Not Applicable	Not Applicable
	"89 years"	"89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	66	Not Applicable	Not Applicable
	"90 years"	"90"	"Transport accidents"	"V01-V99"	456	Not Applicable	Not Applicable
	"90 years"	"90"	"Other external causes of accidental injury"	"W00-X59"	8126	Not Applicable	Not Applicable
	"90 years"	"90"	"Intentional self-harm"	"X60-X84"	427	Not Applicable	Not Applicable
	"90 years"	"90"	"Assault"	"X85-Y09"	33	Not Applicable	Not Applicable
	"90 years"	"90"	"Event of undetermined intent"	"Y10-Y34"	35	Not Applicable	Not Applicable
	"90 years"	"90"	"Complications of medical and surgical care"	"Y40-Y84"	285	Not Applicable	Not Applicable
	"90 years"	"90"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	65	Not Applicable	Not Applicable
	"91 years"	"91"	"Transport accidents"	"V01-V99"	366	Not Applicable	Not Applicable
	"91 years"	"91"	"Other external causes of accidental injury"	"W00-X59"	7728	Not Applicable	Not Applicable
	"91 years"	"91"	"Intentional self-harm"	"X60-X84"	401	Not Applicable	Not Applicable
	"91 years"	"91"	"Assault"	"X85-Y09"	32	Not Applicable	Not Applicable
	"91 years"	"91"	"Event of undetermined intent"	"Y10-Y34"	31	Not Applicable	Not Applicable
	"91 years"	"91"	"Complications of medical and surgical care"	"Y40-Y84"	251	Not Applicable	Not Applicable
	"91 years"	"91"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	77	Not Applicable	Not Applicable
	"92 years"	"92"	"Transport accidents"	"V01-V99"	327	Not Applicable	Not Applicable
	"92 years"	"92"	"Other external causes of accidental injury"	"W00-X59"	7179	Not Applicable	Not Applicable
	"92 years"	"92"	"Intentional self-harm"	"X60-X84"	321	Not Applicable	Not Applicable
	"92 years"	"92"	"Assault"	"X85-Y09"	23	Not Applicable	Not Applicable
	"92 years"	"92"	"Event of undetermined intent"	"Y10-Y34"	28	Not Applicable	Not Applicable
	"92 years"	"92"	"Complications of medical and surgical care"	"Y40-Y84"	239	Not Applicable	Not Applicable
	"92 years"	"92"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	63	Not Applicable	Not Applicable
	"93 years"	"93"	"Transport accidents"	"V01-V99"	235	Not Applicable	Not Applicable
	"93 years"	"93"	"Other external causes of accidental injury"	"W00-X59"	6686	Not Applicable	Not Applicable
	"93 years"	"93"	"Intentional self-harm"	"X60-X84"	264	Not Applicable	Not Applicable
	"93 years"	"93"	"Assault"	"X85-Y09"	23	Not Applicable	Not Applicable
	"93 years"	"93"	"Event of undetermined intent"	"Y10-Y34"	16	Not Applicable	Not Applicable
	"93 years"	"93"	"Complications of medical and surgical care"	"Y40-Y84"	193	Not Applicable	Not Applicable
	"93 years"	"93"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	59	Not Applicable	Not Applicable
	"94 years"	"94"	"Transport accidents"	"V01-V99"	164	Not Applicable	Not Applicable
	"94 years"	"94"	"Other external causes of accidental injury"	"W00-X59"	5707	Not Applicable	Not Applicable
	"94 years"	"94"	"Intentional self-harm"	"X60-X84"	198	Not Applicable	Not Applicable
	"94 years"	"94"	"Assault"	"X85-Y09"	18	Not Applicable	Not Applicable
	"94 years"	"94"	"Event of undetermined intent"	"Y10-Y34"	17	Not Applicable	Not Applicable
	"94 years"	"94"	"Complications of medical and surgical care"	"Y40-Y84"	136	Not Applicable	Not Applicable
	"94 years"	"94"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	56	Not Applicable	Not Applicable
	"95 years"	"95"	"Transport accidents"	"V01-V99"	130	Not Applicable	Not Applicable
	"95 years"	"95"	"Other external causes of accidental injury"	"W00-X59"	4878	Not Applicable	Not Applicable
	"95 years"	"95"	"Intentional self-harm"	"X60-X84"	111	Not Applicable	Not Applicable
	"95 years"	"95"	"Assault"	"X85-Y09"	11	Not Applicable	Not Applicable
	"95 years"	"95"	"Event of undetermined intent"	"Y10-Y34"	12	Not Applicable	Not Applicable
	"95 years"	"95"	"Complications of medical and surgical care"	"Y40-Y84"	92	Not Applicable	Not Applicable
	"95 years"	"95"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	37	Not Applicable	Not Applicable
	"96 years"	"96"	"Transport accidents"	"V01-V99"	80	Not Applicable	Not Applicable
	"96 years"	"96"	"Other external causes of accidental injury"	"W00-X59"	3990	Not Applicable	Not Applicable
	"96 years"	"96"	"Intentional self-harm"	"X60-X84"	81	Not Applicable	Not Applicable
	"96 years"	"96"	"Assault"	"X85-Y09"	11	Not Applicable	Not Applicable
	"96 years"	"96"	"Complications of medical and surgical care"	"Y40-Y84"	95	Not Applicable	Not Applicable
	"96 years"	"96"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	31	Not Applicable	Not Applicable
	"97 years"	"97"	"Transport accidents"	"V01-V99"	62	Not Applicable	Not Applicable
	"97 years"	"97"	"Other external causes of accidental injury"	"W00-X59"	3194	Not Applicable	Not Applicable
	"97 years"	"97"	"Intentional self-harm"	"X60-X84"	57	Not Applicable	Not Applicable
	"97 years"	"97"	"Complications of medical and surgical care"	"Y40-Y84"	63	Not Applicable	Not Applicable
	"97 years"	"97"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	30	Not Applicable	Not Applicable
	"98 years"	"98"	"Transport accidents"	"V01-V99"	32	Not Applicable	Not Applicable
	"98 years"	"98"	"Other external causes of accidental injury"	"W00-X59"	2376	Not Applicable	Not Applicable
	"98 years"	"98"	"Intentional self-harm"	"X60-X84"	32	Not Applicable	Not Applicable
	"98 years"	"98"	"Complications of medical and surgical care"	"Y40-Y84"	55	Not Applicable	Not Applicable
	"98 years"	"98"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	21	Not Applicable	Not Applicable
	"99 years"	"99"	"Transport accidents"	"V01-V99"	23	Not Applicable	Not Applicable
	"99 years"	"99"	"Other external causes of accidental injury"	"W00-X59"	1713	Not Applicable	Not Applicable
	"99 years"	"99"	"Intentional self-harm"	"X60-X84"	23	Not Applicable	Not Applicable
	"99 years"	"99"	"Complications of medical and surgical care"	"Y40-Y84"	42	Not Applicable	Not Applicable
	"99 years"	"99"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	19	Not Applicable	Not Applicable
	"100+ years"	"100"	"Transport accidents"	"V01-V99"	32	Not Applicable	Not Applicable
	"100+ years"	"100"	"Other external causes of accidental injury"	"W00-X59"	3126	Not Applicable	Not Applicable
	"100+ years"	"100"	"Intentional self-harm"	"X60-X84"	32	Not Applicable	Not Applicable
	"100+ years"	"100"	"Complications of medical and surgical care"	"Y40-Y84"	59	Not Applicable	Not Applicable
	"100+ years"	"100"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	23	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Transport accidents"	"V01-V99"	11	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Other external causes of accidental injury"	"W00-X59"	65	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Intentional self-harm"	"X60-X84"	10	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"ICD-10 Codes: V01-Y89 (External causes of morbidity and mortality)"
"Group By: Single-Year Ages; ICD Sub-Chapter"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Apr 14, 2024 2:14:47 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 14, 2024 2:14:47 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. The population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"7. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"8. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
